q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,q21,q36,q37,q44,q48,q50
u0,49,39,52,39,37,37,46,38,46,19,1,1,43,53,47,22,31,33
u1,53,46,50,51,47,51,45,45,46,51,13,7,48,47,49,48,76,100
u2,7,9,3,2,6,4,12,5,8,9,9,10,23,1,1,2,39,63
u3,1,12,20,8,11,31,1,17,1,1,1,1,2,11,7,14,7,8
u4,54,48,30,47,48,47,47,48,48,63,100,100,46,1,1,63,33,47
u5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
u6,1,1,37,7,1,14,1,1,1,1,1,1,5,40,10,1,8,1
u7,100,96,35,39,100,40,95,100,98,71,28,30,96,35,36,72,82,100
u8,15,48,90,90,46,80,50,49,41,45,63,63,25,82,86,55,35,23
u9,29,27,83,75,17,90,24,27,24,51,8,11,16,90,88,44,23,24
u10,8,1,6,5,1,6,1,1,4,24,48,27,4,4,7,9,30,23
